

METROPOLITAN AREAS AND COMPONENTS, 1998, WITH FIPS CODES

(Metropolitan areas defined by Office of Management and Budget, 6/30/98)

Source:			U.S. Census Bureau
Internet Release date:	July 1996
Revised date:		November 3, 1998 

The file layout is located at the end of the data file.

GUIDE TO FIPS CODES:
     MSA= Metropolitan Statistical Area
     CMSA= Consolidated Metropolitan Statistical Area  
     PMSA= Primary Metropolitan Statistical Area
     ALT. CM= Alternative Consolidated Metropolitan Statistical Area
     SS= State
     CCC= County
     EEEEE= Entity (city/town)

MSA/		ALT.
CMSA	PMSA	CM	SS	CCC	F	EEEEE	Metropolitan Area and Components
1122	9240	07	25	027	1	51825	        Oxford town
1122	9240	07	25	027	2	52420	        Paxton town
1122	9240	07	25	027	2	55395	        Princeton town
1122	9240	07	25	027	2	58825	        Rutland town
1122	9240	07	25	027	1	61800	        Shrewsbury town
1122	9240	07	25	027	2	63270	        Southbridge town
1122	9240	07	25	027	2	66105	        Spencer town
1122	9240	07	25	027	2	67385	        Sterling town
1122	9240	07	25	027	2	68155	        Sturbridge town
1122	9240	07	25	027	2	68610	        Sutton town
1122	9240	07	25	027	1	71620	        Uxbridge town
1122	9240	07	25	027	1	73895	        Webster town
1122	9240	07	25	027	2	75015	        Westborough town
1122	9240	07	25	027	1	75155	        West Boylston town
1122	9240	07	25	027	2	75400	        West Brookfield town
1122	9240	07	25	027	1	82000	        Worcester city

1240							Brownsville-Harlingen-San Benito, TX MSA
1240			48	061	1		     Cameron County

1260							Bryan-College Station, TX MSA
1260			48	041	1		     Brazos County

1280							Buffalo-Niagara Falls, NY MSA
1280			36	029	1		     Erie County
1280			36	063	1		     Niagara County

1305							Burlington, VT MSA
1305			50	007			     Chittenden County (pt.)
1305			50	007	1	10675	        Burlington city
1305			50	007	2	13300	        Charlotte town
1305			50	007	1	14875	        Colchester town
1305			50	007	1	24175	        Essex town
1305			50	007	2	33475	        Hinesburg town
1305			50	007	2	36700	        Jericho town
1305			50	007	2	45250	        Milton town
1305			50	007	2	59275	        Richmond town
1305			50	007	2	62050	        St. George town
1305			50	007	1	64300	        Shelburne town
1305			50	007	1	66175	        South Burlington city
1305			50	007	2	84475	        Williston town
1305			50	007	1	85150	        Winooski city
1305			50	011			     Franklin County (pt.)
1305			50	011	2	24925	        Fairfax town
1305			50	011	2	27700	        Georgia town
1305			50	011	2	61675	        St. Albans city
1305			50	011	2	61750	        St. Albans town
1305			50	011	2	71725	        Swanton town
1305			50	013			     Grand Isle County (pt.)
1305			50	013	2	29275	        Grand Isle town
1305			50	013	2	67000	        South Hero town

1320							Canton-Massillon, OH MSA
1320			39	019	2		     Carroll County
1320			39	151	1		     Stark County

1350							Casper, WY MSA
